Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Number of rooms,Living area,Equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of good,Number of facades,Swimming pool,State of building
20613089,MONS-LEZ-LIÈGE,4400,175000.0,HOUSE,HOUSE,sale,1.0,43.0,1,0,0,20.0,,0.0,,0,JUST_RENOVATED
20657821,Seraing,4100,159000.0,HOUSE,HOUSE,sale,3.0,107.0,1,0,0,,,68.0,2.0,0,GOOD
20086900,Berlaar,2590,399.0,HOUSE_GROUP,HOUSE_GROUP,sale,,,0,0,0,,,,,0,
20379494,Knokke-Heist,8300,1495000.0,APARTMENT,APARTMENT,sale,3.0,130.0,0,0,0,,,,4.0,0,AS_NEW
20595220,Uccle,1180,1275000.0,HOUSE,HOUSE,sale,7.0,262.0,1,0,0,15.0,195.0,321.0,2.0,0,GOOD
20535290,Knokke-Heist,8300,1250000.0,HOUSE,HOUSE,sale,4.0,302.0,1,0,0,22.0,283.0,464.0,2.0,0,AS_NEW
20615130,Woluwe-Saint-Lambert,1200,285.0,APARTMENT_GROUP,APARTMENT_GROUP,sale,,,0,0,0,,,,,0,
20641163,MONT-SAINT-GUIBERT,1435,230000.0,APARTMENT,APARTMENT,sale,1.0,65.0,0,0,0,36.0,,,,0,GOOD
20660789,Leuven,3010,375000.0,APARTMENT,DUPLEX,sale,3.0,122.0,0,0,0,,,,7.4,0,AS_NEW
20658283,Brugge,8000,335000.0,HOUSE,HOUSE,sale,2.0,131.0,0,0,0,,,73.0,,0,GOOD
20643843,Charleroi,6000,149000.0,APARTMENT,APARTMENT,sale,3.0,165.0,0,0,0,,,,,0,
20639940,Lasne,1380,1095000.0,HOUSE,VILLA,sale,5.0,350.0,1,0,1,,,0.0,4.0,1,AS_NEW
20585181,Ixelles,1050,995000.0,APARTMENT,APARTMENT,sale,3.0,170.0,1,0,0,18.0,,,2.0,0,
20284073,JEMEPPE-SUR-MEUSE,4101,235000.0,HOUSE,HOUSE,sale,4.0,110.0,1,0,0,,195.0,307.0,2.0,0,TO_BE_DONE_UP
20585843,Jabbeke,8490,2995000.0,HOUSE,VILLA,sale,4.0,607.0,0,1,0,,,6004.0,4.0,1,GOOD
20008602,AUBANGE,6790,550000.0,HOUSE,HOUSE,sale,4.0,277.0,1,0,1,30.0,,1273.0,4.0,0,GOOD
20533220,Lot,1651,375000.0,HOUSE,HOUSE,sale,2.0,115.0,1,0,0,,,415.0,7.0,0,GOOD
20289918,Recogne,6800,264000.0,APARTMENT,APARTMENT,sale,2.0,77.0,1,0,0,24.0,72.0,,,0,
20495660,Braine-l'Alleud,1420,322.0,APARTMENT_GROUP,APARTMENT_GROUP,sale,,,0,0,0,,,,,0,
