id,type,subtype,postal_code,locality,price,rooms_cnt,area,immo_url,Type of sale,Kitchen type,Terrace surface,Garden surface,Swimming pool,Furnished,Open fire,Building condition,Number of frontages,Surface of good,Construction year
20659651,house,house,4031,Angleur,485000,,305.0,https://www.immoweb.be/en/classified/house/for-sale/angleur/4031/20659651,For sale,,,,0,0,0,To be done up,3.0,,2003.0
20658353,house,house,2800,Mechelen,339000,2.0,118.0,https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/20658353,For sale,Hyper equipped,,28.0,0,0,0,To be done up,2.0,100.0,1950.0
20657801,house,mixed-use-building,3740,Bilzen,499000,2.0,250.0,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/bilzen/3740/20657801,For sale,Installed,,,0,0,0,,,1089.0,2013.0
20631196,house,house,4540,AMAY,179000,2.0,121.0,https://www.immoweb.be/en/classified/house/for-sale/amay/4540/20631196,For sale,Semi equipped,50.0,,0,0,0,Good,3.0,175.0,1874.0
20589652,house,house,6220,FLEURUS,159000,1.0,80.0,https://www.immoweb.be/en/classified/house/for-sale/fleurus/6220/20589652,For sale,Semi equipped,6.0,58.0,0,0,0,To be done up,2.0,58.0,
20620542,apartment,apartment,2200,HERENTALS,359000,5.0,273.0,https://www.immoweb.be/en/classified/apartment/for-sale/herentals/2200/20620542,For sale,Semi equipped,,,0,0,0,To renovate,2.0,,1964.0
20521693,apartment,apartment,1060,Saint-Gilles,515000,2.0,117.0,https://www.immoweb.be/en/classified/apartment/for-sale/saint-gilles/1060/20521693,For sale,Installed,12.0,,0,0,0,As new,2.0,,1905.0
20620281,apartment,apartment,9050,Gentbrugge,249000,3.0,106.0,https://www.immoweb.be/en/classified/apartment/for-sale/gentbrugge/9050/20620281,For sale,,6.0,46.0,0,0,0,Good,,,
20667717,apartment,apartment,8500,Kortrijk,550000,2.0,95.0,https://www.immoweb.be/en/classified/apartment/for-sale/kortrijk/8500/20667717,For sale,,15.0,,0,0,0,As new,,,2022.0
20666116,apartment,apartment,1380,Lasne,695000,2.0,125.0,https://www.immoweb.be/en/classified/apartment/for-sale/lasne/1380/20666116,For sale,,14.0,,0,0,0,As new,,,2015.0
20620271,apartment,apartment,2660,HOBOKEN,249000,3.0,78.0,https://www.immoweb.be/en/classified/apartment/for-sale/hoboken/2660/20620271,For sale,Installed,,,0,0,0,Good,,,1967.0
20620133,apartment,apartment,2830,WILLEBROEK,238000,2.0,105.0,https://www.immoweb.be/en/classified/apartment/for-sale/willebroek/2830/20620133,For sale,Hyper equipped,8.0,,0,0,0,Good,,,1970.0
