Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Number of rooms,Living area,Equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of good,Number of facades,Swimming pool,State of building,Construction Year
20658567.0,Aalst,9320.0,399000.0,HOUSE,HOUSE,Regular,3.0,,1.0,0.0,0.0,0.0,1.0,224.0,1.0,0.0,AS_NEW,0.0
20658564.0,Sint-Lievens-Houtem,9520.0,336000.0,HOUSE,HOUSE,Regular,2.0,105.0,1.0,0.0,0.0,7.0,1.0,170.0,4.0,0.0,AS_NEW,0.0
20658553.0,Sint-Lievens-Houtem,9520.0,399500.0,HOUSE,HOUSE,Regular,3.0,148.0,1.0,0.0,0.0,0.0,0.0,274.0,3.0,0.0,AS_NEW,0.0
20658551.0,Sint-Lievens-Houtem,9520.0,490000.0,HOUSE,HOUSE,Regular,3.0,165.0,1.0,0.0,0.0,0.0,0.0,562.0,4.0,0.0,AS_NEW,0.0
20658549.0,Sint-Lievens-Houtem,9520.0,480000.0,HOUSE,HOUSE,Regular,3.0,171.0,1.0,0.0,0.0,0.0,0.0,426.0,4.0,0.0,AS_NEW,0.0
20658550.0,Sint-Lievens-Houtem,9520.0,485000.0,HOUSE,HOUSE,Regular,3.0,177.0,1.0,0.0,0.0,0.0,0.0,421.0,4.0,0.0,AS_NEW,0.0
20658546.0,Sint-Lievens-Houtem,9520.0,520000.0,HOUSE,HOUSE,Regular,3.0,180.0,1.0,0.0,0.0,0.0,0.0,494.0,4.0,0.0,AS_NEW,0.0
20658423.0,Geraardsbergen,9500.0,135000.0,HOUSE,HOUSE,Regular,3.0,115.0,1.0,0.0,0.0,0.0,1.0,66.0,2.0,0.0,TO_BE_DONE_UP,0.0
20658356.0,Denderleeuw Welle,9473.0,359000.0,HOUSE,HOUSE,Regular,4.0,280.0,1.0,0.0,0.0,0.0,1.0,1168.0,3.0,0.0,GOOD,0.0
20658241.0,Onkerzele,9500.0,495000.0,HOUSE,HOUSE,Regular,4.0,235.0,1.0,0.0,0.0,0.0,1.0,640.0,3.0,0.0,AS_NEW,0.0
20658222.0,Herzele,9550.0,449000.0,HOUSE,HOUSE,Regular,3.0,260.0,0.0,0.0,0.0,0.0,0.0,580.0,,0.0,GOOD,0.0
20663609.0,Lasne,1380.0,625000.0,HOUSE,HOUSE,Regular,4.0,278.0,1.0,0.0,0.0,0.0,1.0,1549.0,4.0,0.0,TO_RENOVATE,0.0
20663605.0,Wilsele,3012.0,720000.0,HOUSE,VILLA,Regular,4.0,347.0,1.0,0.0,0.0,42.0,1.0,692.0,,0.0,,0.0
20663604.0,Nazareth-De Pinte,9810.0,485000.0,HOUSE,HOUSE,Regular,2.0,151.0,0.0,0.0,0.0,0.0,0.0,472.0,,0.0,AS_NEW,0.0
20483727.0,Flémalle,4400.0,140000.0,HOUSE,HOUSE,Regular,2.0,91.0,1.0,0.0,0.0,0.0,0.0,203.0,3.0,0.0,GOOD,0.0
20663591.0,Nazareth-De Pinte,9810.0,619000.0,HOUSE,HOUSE,Regular,4.0,236.0,0.0,0.0,0.0,15.0,0.0,573.0,3.0,0.0,AS_NEW,0.0
20663589.0,Ravels Weelde,2381.0,413000.0,HOUSE,HOUSE,Regular,5.0,158.0,1.0,0.0,0.0,30.0,1.0,151.0,2.0,0.0,AS_NEW,0.0
20663588.0,Oudenburg,8460.0,349000.0,HOUSE,HOUSE,Regular,4.0,215.0,1.0,0.0,0.0,0.0,0.0,515.0,2.0,0.0,GOOD,0.0
20663566.0,Ardooie,8850.0,225000.0,HOUSE,HOUSE,Regular,4.0,217.0,1.0,0.0,0.0,25.0,0.0,142.0,4.0,0.0,GOOD,0.0
20609743.0,Denderleeuw,9470.0,235000.0,HOUSE,HOUSE,Regular,3.0,146.0,1.0,0.0,0.0,0.0,1.0,434.0,3.0,0.0,TO_RENOVATE,0.0
20407663.0,Geraardsbergen,9500.0,215000.0,HOUSE,HOUSE,Regular,2.0,130.0,1.0,0.0,0.0,20.0,1.0,450.0,2.0,0.0,TO_BE_DONE_UP,0.0
11394075.0,Aalst,9310.0,452619.0,HOUSE,HOUSE,Regular,3.0,190.0,0.0,0.0,0.0,0.0,1.0,500.0,3.0,0.0,,0.0
